tiempo_relativo_s,valor_crudo
3.519371271133423,-68395.0
3.5303938388824463,-68398.0
3.5364863872528076,-68373.0
3.546560764312744,-68346.0
3.57011079788208,-68283.0
3.5705790519714355,-68196.0
3.5840020179748535,-68040.0
3.587547779083252,-67900.0
3.596529245376587,-67737.0
3.6197760105133057,-67571.0
3.6203439235687256,-67436.0
3.633845329284668,-67374.0
3.6364524364471436,-67334.0
3.6465446949005127,-67326.0
3.6701815128326416,-67319.0
3.6706948280334473,-67343.0
3.685230255126953,-67359.0
3.6863901615142822,-67392.0
3.696521759033203,-67412.0
3.719085216522217,-67434.0
3.719547986984253,-67449.0
3.731497287750244,-67474.0
3.736626148223877,-67481.0
3.7464449405670166,-67512.0
3.7694575786590576,-67532.0
3.7700648307800293,-67568.0
3.7839388847351074,-67602.0
3.7868235111236572,-67644.0
3.7963979244232178,-67673.0
3.8186697959899902,-67708.0
3.8192665576934814,-67717.0
3.8318119049072266,-67738.0
3.8364741802215576,-67723.0
3.8465659618377686,-67722.0
3.8691368103027344,-67703.0
3.8696606159210205,-67697.0
3.8827104568481445,-67690.0
3.8872947692871094,-67704.0
3.89689302444458,-67724.0
3.9200730323791504,-67771.0
3.928870916366577,-67800.0
3.9294891357421875,-67850.0
3.936558723449707,-67880.0
3.9473767280578613,-67917.0
3.9685652256011963,-67936.0
3.9691321849823,-67965.0
3.9842288494110107,-67975.0
3.9875152111053467,-68002.0
3.9974255561828613,-68014.0
4.018464803695679,-68033.0
4.019026279449463,-68045.0
4.031653165817261,-68059.0
4.037432670593262,-68064.0
4.047350168228149,-68080.0
4.0699450969696045,-68084.0
4.07042121887207,-68093.0
4.085339307785034,-68091.0
4.0872275829315186,-68106.0
4.09735107421875,-68106.0
4.118476390838623,-68121.0
4.119071006774902,-68108.0
4.1332244873046875,-68111.0
4.137361526489258,-68093.0
4.1474995613098145,-68089.0
4.16966986656189,-68076.0
4.170141220092773,-68072.0
4.182924032211304,-68054.0
4.18742299079895,-68053.0
4.197263479232788,-68037.0
4.21903133392334,-68041.0
4.219523191452026,-68026.0
4.2340312004089355,-68019.0
4.237332344055176,-67977.0
4.2471678256988525,-67909.0
4.269237995147705,-67769.0
4.269973516464233,-67621.0
4.283013105392456,-67470.0
4.287059545516968,-67360.0
4.297040700912476,-67278.0
4.3190391063690186,-67230.0
4.319531202316284,-67189.0
4.336151361465454,-67180.0
4.338088274002075,-67167.0
4.346876621246338,-67174.0
4.3568115234375,-67168.0
4.371915817260742,-67184.0
4.386620759963989,-67184.0
4.387126207351685,-67198.0
4.396864891052246,-67193.0
4.42200493812561,-67210.0
4.42255711555481,-67200.0
4.435961961746216,-67214.0
4.436657667160034,-67213.0
4.446752309799194,-67223.0
4.469999074935913,-67227.0
4.470466375350952,-67245.0
4.486316919326782,-67265.0
4.486827850341797,-67293.0
4.497951507568359,-67301.0
4.51978874206543,-67328.0
4.520311594009399,-67344.0
4.535269021987915,-67360.0
4.537964582443237,-67363.0
4.547919988632202,-67377.0
4.570945978164673,-67371.0
4.571424961090088,-67375.0
4.586644887924194,-67371.0
4.5881571769714355,-67371.0
4.598121166229248,-67360.0
4.620640516281128,-67355.0
4.621219873428345,-67337.0
4.635935306549072,-67340.0
4.638001203536987,-67335.0
4.647841691970825,-67333.0
4.670648813247681,-67333.0
4.67119574546814,-67338.0
4.686677932739258,-67334.0
4.688009977340698,-67353.0
4.698042154312134,-67356.0
4.720499277114868,-67366.0
4.721014022827148,-67366.0
4.7355852127075195,-67385.0
4.738357067108154,-67387.0
4.747969150543213,-67395.0
4.770998954772949,-67394.0
4.771509408950806,-67407.0
4.786972522735596,-67413.0
4.787638902664185,-67419.0
4.797915935516357,-67408.0
4.820239543914795,-67420.0
4.820760250091553,-67412.0
4.8334925174713135,-67415.0
4.8374433517456055,-67411.0
4.847317695617676,-67425.0
4.872301340103149,-67427.0
4.872876405715942,-67442.0
4.886670827865601,-67454.0
4.887477874755859,-67478.0
4.897408485412598,-67492.0
4.919409275054932,-67518.0
4.919995069503784,-67533.0
4.934646129608154,-67554.0
4.937377452850342,-67564.0
4.947478532791138,-67581.0
4.972247362136841,-67582.0
4.973450660705566,-67592.0
4.987198114395142,-67590.0
4.987701416015625,-67591.0
4.997299432754517,-67569.0
