tiempo_relativo_s,primera_derivada,segunda_derivada
15.603225231170654,-282.0999999999998,7651.5624999999845
15.629464149475098,-214.74375000000023,9532.812500000044
15.630234479904175,-129.5749999999991,12400.390624999978
15.63295316696167,-16.33750000000056,16089.062499999862
15.651209592819214,127.84999999999869,19460.156250000084
15.65249252319336,295.0250000000008,21570.703125000087
15.688183069229126,472.9812500000001,22220.703124999905
15.689150333404541,650.5562499999993,21972.26562499999
15.690125465393066,824.5374999999999,21974.218750000047
15.691183090209961,1002.1437500000001,22690.62500000007
15.715397357940674,1187.587500000001,22875.78125000001
15.717146873474121,1368.1562500000002,20649.609374999938
15.722069263458252,1517.98125,15230.46875
15.751781225204468,1611.8437500000002,7308.203124999963
15.753160953521729,1634.9124999999995,-1651.5625000000398
15.754385232925415,1585.4187499999996,-9964.062499999984
15.777075052261353,1475.4874999999997,-15890.624999999985
15.78178334236145,1331.1687499999998,-18049.218749999978
15.78454065322876,1186.7,-16188.671874999982
15.808558702468872,1072.15,-11587.499999999998
15.809125661849976,1001.3000000000001,-6423.4374999999845
15.809627056121826,969.3750000000003,-2604.6875000000114
15.828524112701416,959.6249999999999,-1116.796875000034
15.829059362411499,951.5062499999998,-1923.4374999999843
15.858580112457275,928.8500000000001,-4197.65624999998
15.859245538711548,884.3437500000001,-6882.812500000014
15.859956741333008,818.7249999999999,-9014.45312500001
15.880125284194946,740.1125,-9726.953124999995
15.880623817443848,663.09375,-8621.09375
15.891798734664917,602.175,-6175.000000000005
15.916133165359497,564.2937499999999,-3394.53125
15.916753768920898,547.8625,-1366.0156249999957
15.919173955917358,542.4375,-1235.1562499999957
15.93523907661438,528.1,-3493.3593749999973
15.939381837844849,486.54375000000005,-6765.234374999998
15.97040605545044,419.85625000000005,-8204.296875000004
15.971060037612915,355.275,-5988.671874999991
15.971856832504272,324.0375000000002,-2085.546874999995
15.992270946502686,321.90625000000006,-2504.296875000033
15.993354797363281,283.96874999999966,-11805.078125000007
16.02127742767334,133.02499999999995,-23378.515624999956
16.021856546401978,-90.08749999999965,-17202.34374999999
16.02236771583557,-142.21249999999986,24848.82812499997
16.043116331100464,307.4937499999999,96975.78124999997
16.043567180633545,1409.3999999999996,165948.04687499997
16.049169063568115,2962.6624999999995,194175.0
16.070075035095215,4516.2,166815.23437500003
16.08000111579895,5631.70625,97531.64062500007
16.080763816833496,6076.706250000001,13522.656249999955
16.10611891746521,5848.068749999999,-62127.34375000019
16.110787868499756,5082.668749999998,-118144.53125000003
16.112497806549072,3957.756249999999,-152737.89062499974
16.139405965805054,2638.862500000002,-168303.51562499988
16.1400408744812,1264.9000000000008,-168488.28125000017
16.141139268875122,-56.9500000000005,-157102.734375
16.162484884262085,-1248.7437499999992,-137101.95312499997
16.163753509521484,-2250.5812499999997,-110473.82812500015
16.170483827590942,-3016.3250000000016,-79650.39062500012
16.198274850845337,-3524.9875000000015,-48328.515624999854
16.19930124282837,-3789.5812499999993,-20288.671874999836
16.200295448303223,-3849.606249999999,1716.0156250000114
16.223052263259888,-3762.124999999999,15830.468749999936
16.223702669143677,-3596.31875,21454.68749999995
16.230259895324707,-3418.85,19972.65625
16.26169753074646,-3276.75625,14638.671875
16.262446641921997,-3184.63125,10206.640625000005
16.263325929641724,-3113.45,11325.781250000005
16.28831386566162,-3003.41875,19010.156249999993
16.288959980010986,-2809.2875,29501.17187499998
16.290045738220215,-2531.4,37960.9375
16.325361490249634,-2201.9125,42182.03125000002
16.326316833496094,-1856.4874999999997,42470.31250000001
16.32758665084839,-1522.3874999999998,39766.79687499997
16.353421926498413,-1220.2187500000002,34582.03124999998
16.35419249534607,-969.0750000000002,27056.250000000025
16.354915380477905,-787.3187499999998,17835.937500000015
16.36087465286255,-683.6999999999999,8743.359374999976
16.392069578170776,-647.4250000000002,2046.4843749999914
16.39285445213318,-650.9562500000001,-1005.8593749999716
16.393500566482544,-663.5187499999997,-786.3281249999616
16.421180725097656,-663.5374999999995,1116.7968749999914
16.42189621925354,-645.6499999999999,2831.2499999999545
16.42642116546631,-618.2375000000002,3473.8281249999686
16.45236849784851,-590.0687500000004,3655.468750000054
16.452975749969482,-559.7499999999993,4408.984374999982
16.45347547531128,-519.5250000000007,5689.453124999911
16.476101875305176,-468.71875000000074,6141.015625000079
16.47783613204956,-421.2687499999994,4782.812500000013
16.480760097503662,-392.19375000000053,2684.7656249999723
16.50772976875305,-378.31249999999983,1717.5781250000632
16.50823473930359,-364.7124999999995,2148.0468750000305
16.509833574295044,-343.94374999999934,3059.7656249999864
16.528868675231934,-315.75624999999974,4110.156249999885
16.529372692108154,-278.18125000000117,5344.1406249999945
16.556185483932495,-230.24999999999983,6289.843750000081
16.556811571121216,-177.54374999999987,6445.31249999991
16.559791088104248,-127.12500000000126,6441.406250000003
16.57603883743286,-74.48124999999983,7858.9843750001
16.581390380859375,-1.3812499999996675,11380.468749999984
16.606204748153687,107.6062499999999,15917.578125000051
16.606752395629883,253.30000000000118,19893.75000000004
16.627885818481445,425.90625000000057,22283.593749999887
16.628390312194824,609.8374999999994,22733.593749999945
16.634348154067993,789.6437499999997,21973.046875000007
16.6598219871521,961.4062499999995,21545.70312500003
16.660338163375854,1134.3750000000002,22254.68750000003
16.66123652458191,1317.48125,23406.640624999978
