tiempo_s,ppg_suavizada
8.757899761199951,-67371.41174450616
8.778382539749146,-67355.95192307759
8.778928756713867,-67324.52850274791
8.811930418014526,-67277.52163461605
8.812560558319092,-67215.43818681386
8.813056945800781,-67139.31318681384
8.834228992462158,-67049.93063186882
8.83778715133667,-66949.63392857209
8.838876962661743,-66840.24004120946
8.874152660369873,-66725.25583791274
8.874830722808838,-66606.38907967099
8.875590562820435,-66486.80288461606
8.897107601165771,-66369.15659340724
8.897780895233154,-66255.4464285721
8.898702383041382,-66149.23111263804
8.936660528182983,-66053.0408653853
8.93716549873352,-65968.5346840666
8.937620878219604,-65898.75480769297
8.938116312026978,-65844.8104395611
8.961437940597534,-65806.30563186879
8.96197247505188,-65784.18543956109
8.970344305038452,-65776.26991758305
9.006099462509155,-65778.6222527479
9.00673794746399,-65788.77335164901
9.007351398468018,-65802.84718406659
9.008237600326538,-65820.90178571493
9.037326335906982,-65842.5178571435
9.03803563117981,-65867.29842033032
9.038665294647217,-65894.56559065999
9.04707670211792,-65924.28743131932
9.084869861602783,-65955.95913461605
9.085512399673462,-65989.46806318747
9.08638072013855,-66024.10302197868
9.0873703956604,-66059.21771978089
9.114749193191528,-66093.97355769295
9.11623239517212,-66128.24416208857
9.117082118988037,-66161.1754807699
9.157002687454224,-66192.04326923144
9.15772557258606,-66220.39835164903
9.158410787582397,-66246.9464285721
9.15919041633606,-66271.0394917589
9.188868999481201,-66292.93578296769
9.1895272731781,-66313.98832417649
9.191712379455566,-66334.65762362705
9.228752136230469,-66354.92204670397
9.229552507400513,-66375.5501373633
9.230203866958618,-66397.08756868199
9.230899095535278,-66418.43475274791
9.260604619979858,-66441.51476648418
9.261311054229736,-66465.16861263804
9.261997938156128,-66488.73729395671
9.269330024719238,-66512.76717033033
9.303741455078125,-66538.07383241825
9.304363489151001,-66563.20570055011
9.305090188980103,-66589.38530219847
9.333739042282104,-66615.7534340666
9.334900617599487,-66642.17788461605
9.335662603378296,-66668.17445055011
9.340489625930786,-66693.17994505563
9.369351148605347,-66717.99622252813
9.36989688873291,-66742.56353022045
9.370354413986206,-66765.754807693
9.395965337753296,-66789.05391483584
9.396443367004395,-66811.48866758311
9.39694881439209,-66833.94265109955
9.431041240692139,-66854.98111263804
9.431612253189087,-66875.66037087978
9.432169437408447,-66896.30872252813
9.453178405761719,-66916.12053571494
9.457065105438232,-66935.88152472593
9.457535743713379,-66955.00995879187
9.498556852340698,-66974.08001373694
9.499588012695312,-66992.5449862644
9.501466989517212,-67012.0813873633
9.530104160308838,-67031.32417582485
9.530760288238525,-67051.73454670398
9.531407833099365,-67074.71840659407
9.532203674316406,-67099.90693681384
9.539342880249023,-67126.80219780287
9.575994968414307,-67157.00824175891
9.576837539672852,-67190.51201923145
9.57740306854248,-67224.86984890177
9.578327655792236,-67256.69711538531
9.60214877128601,-67284.0820741765
9.602623462677002,-67301.5089285721
9.609199285507202,-67304.70329670397
9.63787031173706,-67292.66105769297
9.638423204421997,-67264.79052197869
9.638920783996582,-67220.8482142864
9.663738012313843,-67162.12053571494
9.664318323135376,-67088.98454670397
9.67142915725708,-67004.2321428578
9.699604749679565,-66909.4457417589
9.700426578521729,-66806.13392857212
9.700968503952026,-66698.14732142926
9.725595235824585,-66586.71256868199
9.726102828979492,-66475.58207417648
9.726603507995605,-66367.07108516549
9.762672185897827,-66264.8935439567
9.763228178024292,-66171.67239011056
9.7637939453125,-66090.43509615451
9.787282228469849,-66022.89354395671
9.787907600402832,-65970.34306318745
9.791778564453125,-65935.08962912152
9.79676365852356,-65916.71909340726
9.8340482711792,-65914.38633241825
9.83529281616211,-65924.37603022043
9.836098432540894,-65943.49725274791
9.837017297744751,-65970.7740384622
9.86835527420044,-66001.07451923144
9.86902403831482,-66034.92204670396
9.87320876121521,-66072.67891483582
9.910877466201782,-66113.71188186879
9.911503314971924,-66157.47012362703
9.912169456481934,-66202.98763736329
9.912845849990845,-66249.86881868196
9.944287776947021,-66297.61607142925
9.945034742355347,-66345.55013736329
9.945811986923218,-66392.44883241825
9.95202922821045,-66438.6243131875
9.98905086517334,-66482.95673076989
9.98973298072815,-66525.31627747319
9.990334510803223,-66565.54704670398
9.991009712219238,-66603.85542582486
10.02308177947998,-66640.69677197868
10.023730516433716,-66674.66620879188
10.02441143989563,-66706.93612637429
10.029728412628174,-66737.86057692372
10.066132307052612,-66768.26991758308
10.067336559295654,-66796.9357829677
10.068926095962524,-66826.57417582483
10.07040810585022,-66856.63907967099
10.09748125076294,-66887.11366758308
10.098177433013916,-66917.99519230836
10.098889350891113,-66948.92479395671
10.106139183044434,-66981.03262362703
10.138769626617432,-67013.56043956112
10.139487981796265,-67045.43750000065
10.140189170837402,-67076.8059752754
10.168924808502197,-67107.13049450617
10.169585943222046,-67136.66243131936
10.170347929000854,-67164.63186813254
10.176304578781128,-67191.20329670397
10.19985580444336,-67216.38255494575
10.208659648895264,-67240.86572802266
10.209670782089233,-67263.89114011057
10.233057737350464,-67285.74656593474
10.233806610107422,-67306.1596840666
10.238594770431519,-67325.2273351655
10.26029348373413,-67343.09306318748
10.260923147201538,-67358.3317307699
10.269840478897095,-67372.60473901166
10.297993183135986,-67385.65247252813
10.298633575439453,-67397.11126373694
10.300174474716187,-67407.57314560507
10.305727481842041,-67418.47699175891
10.334452629089355,-67428.6129807699
10.335104942321777,-67437.64114011057
10.335567712783813,-67447.08619505561
10.359748840332031,-67457.02369505561
10.360290288925171,-67468.4526098908
10.366177082061768,-67481.27644230836
10.391815900802612,-67495.26545329738
10.392288208007812,-67512.5085851655
10.396040678024292,-67534.36984890177
10.418025493621826,-67557.44780219848
10.418695449829102,-67576.95054945124
10.425961256027222,-67589.71497252813
10.459408283233643,-67591.82760989077
10.460071086883545,-67579.20020604464
10.460536003112793,-67549.36572802265
10.483415603637695,-67502.94299450616
10.484050512313843,-67440.09649725343
10.485395193099976,-67362.58413461605
10.514890909194946,-67271.95535714352
10.51540994644165,-67169.79429945121
10.516398191452026,-67058.85851648416
10.53878378868103,-66942.4876373633
10.539247989654541,-66821.74038461606
10.546274185180664,-66700.8152472534
10.571829080581665,-66581.40590659408
10.572329998016357,-66465.55666208855
10.594833612442017,-66356.39938186877
10.595348834991455,-66257.86332417649
