tiempo_s,primera_derivada,segunda_derivada
8.633870363235474,-1909.1474931310586,2701.644059015962
8.657430410385132,-1887.01923077042,-796.810611291221
8.658064126968384,-1921.8964629117181,-5029.028588467099
8.661571741104126,-1967.4836881858937,-10998.401013125658
8.689229488372803,-2097.8708791217286,-24734.66474941688
8.689719676971436,-2363.2383241765638,-28438.358516439166
8.690188884735107,-2552.8846153847553,-21127.554086490363
8.720414876937866,-2701.2791895604096,-22324.111435352734
8.721155881881714,-2910.070398350399,-14526.3671875
8.721941232681274,-2933.7010645604096,16357.421874886313
8.727908372879028,-2648.351648352218,66219.79095126562
8.753905534744263,-1874.1844093401596,130014.27283660405
8.754414796829224,-568.1232829665532,183397.90092716157
8.757899761199951,1060.1820054944255,218645.36830355518
8.778382539749146,2930.2026098903298,240106.93895951362
8.778928756713867,4901.893028846644,242996.38349924635
8.811930418014526,6818.144745878271,233508.43492443117
8.812560558319092,8638.027987637543,220379.83988667518
8.813056945800781,10344.222184065075,201057.85327950798
8.834228992462158,11854.95364010967,172589.9832590585
8.83778715133667,13105.66191621001,135542.31413121443
8.838876962661743,14023.630666209101,94376.44874651596
8.874152660369873,14615.685096154266,54979.932177104725
8.874830722808838,14903.309581042777,13209.080958120012
8.875590562820435,14827.030391484186,-27720.692393472746
8.897107601165771,14459.778502747213,-67605.49021305451
8.897780895233154,13745.342548075314,-113089.42522322241
8.898702383041382,12650.347699175654,-153238.4851475399
8.936660528182983,11293.526785714675,-187966.81833782714
8.93716549873352,9642.87860577042,-222547.5940075512
8.937620878219604,7732.765281593856,-241550.31979745443
8.938116312026978,5778.073489011149,-246481.42384955919
8.961437940597534,3789.0625000009095,-243802.58413452792
8.96197247505188,1877.232142858702,-215085.20776103524
8.970344305038452,347.69917582434573,-166168.54824883374
9.006099462509155,-781.4646291226381,-116359.83645265923
9.00673794746399,-1514.058207418202,-76660.15624982947
9.007351398468018,-2008.0271291199097,-60334.928743031924
9.008237600326538,-2479.417067306713,-55735.15839637366
9.037326335906982,-2899.7896634618883,-48347.89234212167
9.03803563117981,-3252.9833447806595,-41376.47020939994
9.038665294647217,-3561.8131868122873,-36507.07202956482
9.04707670211792,-3837.0964972536967,-31998.519059186492
9.084869861602783,-4073.789491759271,-26368.52893192554
9.085512399673462,-4258.992960164505,-17847.752833120012
9.08638072013855,-4359.353537089191,-6744.720123606385
9.0873703956604,-4366.9084821422075,2825.055803725718
9.114749193191528,-4314.15264422958,10424.268114547885
9.11623239517212,-4200.120192309441,20419.277987514306
9.117082118988037,-3987.444196429351,31168.17264776728
9.157002687454224,-3701.429429945165,34749.79610234641
9.15772557258606,-3431.4474587918085,33522.38581737765
9.158410787582397,-3165.0712568671224,34819.550566737686
9.15919041633606,-2874.3346497240054,30048.076922980727
9.188868999481201,-2684.302026099431,16669.97553212468
9.1895272731781,-2607.6150412100105,7871.523008248005
9.191712379455566,-2558.3576579674627,3239.55829338729
9.228752136230469,-2555.782108515814,-4811.71660368318
9.229552507400513,-2635.3451236263936,-7781.647063893615
9.230203866958618,-2680.2884615381117,-8834.671188139964
9.230899095535278,-2776.699862636633,-15036.111349672865
9.260604619979858,-2920.8662431328776,-10919.256524800858
9.261311054229736,-2951.4079670334468,-3377.7257897327218
9.261997938156128,-2974.909855768601,-8257.855425767957
9.269330024719238,-3083.533653845734,-11093.64268546642
9.303741455078125,-3152.408138736064,-7714.57546363763
9.304363489151001,-3206.966861263936,-8239.07537778723
9.305090188980103,-3284.2333447806595,-5785.596239661572
9.333739042282104,-3299.5364010985213,494.988410082442
9.334900617599487,-3276.3135302193405,6994.226476535914
9.335662603378296,-3187.6287774739467,10153.298849559178
9.340489625930786,-3113.8607486263936,6322.169042050518
9.369351148605347,-3086.4740728011384,8059.323488907921
9.36989688873291,-2984.911572803867,11301.564646203133
9.370354413986206,-2905.6490384618883,7909.083104493675
9.395965337753296,-2858.366243131968,6256.438873720072
9.396443367004395,-2805.546016482367,8755.52669992885
9.39694881439209,-2718.2778159331065,12386.783138651936
9.431041240692139,-2607.357486263936,8456.387362627993
9.431612253189087,-2582.9756181310586,4912.324004124002
9.432169437408447,-2528.760302197952,6854.71754803757
9.453178405761719,-2473.3001373624575,6135.7099931456105
9.457065105438232,-2430.5889423076223,5368.4108859215485
9.457535743713379,-2387.4055631877127,5290.607829635974
9.498556852340698,-2345.9392170334468,769.9819712456701
9.499588012695312,-2375.085851647782,-4860.008155901596
9.501466989517212,-2423.6993475278723,-6452.287946558499
9.530104160308838,-2478.322458792718,-18027.504721771948
9.530760288238525,-2712.1394230762235,-33278.24519209343
9.531407833099365,-3010.774381866213,-33943.59546712167
9.532203674316406,-3255.23695055017,-34878.57357504254
9.539342880249023,-3568.8315590668935,-45414.18054600399
9.575994968414307,-3981.863839286234,-42032.430460096744
9.576837539672852,-4241.3504464284415,-9669.041895620012
9.57740306854248,-4136.568509616154,33786.64792234076
9.578327655792236,-3700.7640796709893,83489.38659008809
9.60214877128601,-2800.738324174745,150746.10448152726
9.602623462677002,-1288.8264079665532,209608.1408825512
9.609199285507202,552.9919299460744,236460.92676852958
9.63787031173706,2494.54842032992,245956.9239352959
9.638423204421997,4488.302712910809,245145.35757214163
9.638920783996582,6416.874141484186,234573.53193691687
9.663738012313843,8241.479223901479,215696.90075546078
9.664318323135376,9868.024553571558,186231.00532283843
9.67142915725708,11221.175309066894,157069.6149552191
9.699604749679565,12381.138392855064,124060.99759596145
9.700426578521729,13206.151270602277,83293.53751736335
9.700968503952026,13713.834993132878,44011.04266855782
9.725595235824585,13910.327953299202,859.8579155432162
9.726102828979492,13727.592719781569,-46393.42591019613
9.726603507995605,13168.033138736064,-94698.3924280289
9.762672185897827,12212.418440933106,-141523.75944371443
9.763228178024292,10903.652987636633,-182108.78476986635
9.7637939453125,9298.677884615245,-212368.80794970147
9.787282228469849,7505.752060441409,-238183.3254634671
9.787907600402832,5487.744677199771,-259640.87182370576
9.791778564453125,3351.498111262117,-262111.78957782977
9.79676365852356,1293.9560439544948,-239378.54138034707
9.8340482711792,-478.55855082343624,-194586.7852849119
9.83529281616211,-1819.4325206040958,-151332.31026794648
9.836098432540894,-2899.8755151105797,-111196.66466350964
9.837017297744751,-3598.57915522025,-69335.93749994316
9.86835527420044,-4009.2505151096702,-54793.47312837035
9.86902403831482,-4475.274725274176,-57194.6364182736
9.87320876121521,-4924.364697802048,-51510.989011035235
9.910877466201782,-5299.450549450739,-40960.626287755986
