tiempo_relativo_s,valor_filtrado
12.123713731765747,-111.0725
12.12565279006958,-114.2356
12.12633991241455,-117.2946
12.126973390579224,-120.0866
12.134965658187866,-122.5327
12.177649736404419,-124.6534
12.179232120513916,-126.5116
12.179983377456665,-128.1371
12.181019306182861,-129.5108
12.217185258865356,-130.5992
12.217892408370972,-131.3745
12.22553300857544,-131.7778
12.22650933265686,-131.7236
12.227431535720825,-131.1825
12.269797325134277,-130.1766
12.270463466644287,-128.6805
12.271439552307129,-126.5858
12.272233486175537,-123.7226
12.307433128356934,-119.9274
12.307944059371948,-115.1923
12.30851411819458,-109.7078
12.314070463180542,-103.7136
12.31713080406189,-97.3739
12.36234164237976,-90.7515
12.363053560256958,-83.8113
12.363786220550537,-76.4973
12.36471962928772,-68.8087
12.365720987319946,-60.7775
12.400573492050171,-52.4819
12.401150226593018,-44.1575
12.404401540756226,-36.1811
12.406549453735352,-28.8376
12.451299667358398,-22.1626
12.452046155929565,-16.0396
12.452717304229736,-10.3242
12.45331621170044,-4.8866
12.457144498825073,0.2949
12.500747919082642,5.0867
12.501480340957642,9.3629
12.50584602355957,13.2326
12.506864547729492,17.1741
12.507455110549927,22.2025
12.543984651565552,30.0469
12.544777870178223,42.9304
12.54548692703247,62.7816
12.546388626098633,90.3003
12.574491500854492,124.4929
12.575108289718628,162.9864
12.575696468353271,202.8304
12.614568948745728,241.139
12.615143299102783,275.2687
12.615790605545044,302.8571
12.616497278213501,322.0883
12.646081686019897,332.0259
12.646805047988892,332.6909
12.651033163070679,324.9147
12.655630350112915,310.0898
12.70022463798523,289.83
12.701126337051392,265.6811
12.702024221420288,239.0743
12.703039407730103,211.3846
12.732166290283203,183.8069
12.732998132705688,157.1395
12.739585876464844,131.6864
12.7430739402771,107.2466
12.74521541595459,83.2693
12.769105672836304,59.2732
12.769564151763916,35.194
12.77790379524231,11.3865
12.806635618209839,-11.5439
12.810281038284302,-32.9033
12.81096887588501,-52.0157
12.820088148117065,-68.2748
12.869632244110107,-81.2577
12.871037483215332,-90.9063
12.871980428695679,-97.5574
12.874565124511719,-101.7799
12.91157603263855,-104.2574
12.915923595428467,-105.7832
12.917690515518188,-107.1634
12.919103860855103,-108.9632
12.961890935897827,-111.3156
12.962887525558472,-114.021
12.963979721069336,-116.8511
12.965148210525513,-119.7423
13.001393795013428,-122.7552
13.002116918563843,-125.8949
13.002771377563477,-128.9724
13.006911993026733,-131.6795
13.009228944778442,-133.8309
13.010153770446777,-135.4828
13.060537338256836,-136.7724
13.062135696411133,-137.7402
13.062932968139648,-138.3688
13.063759565353394,-138.6534
13.064751625061035,-138.5955
13.066076517105103,-138.2336
13.102155685424805,-137.6458
13.102667093276978,-136.824
13.103460788726807,-135.5785
13.107765197753906,-133.6236
13.10837697982788,-130.7197
13.145253419876099,-126.7185
13.145839929580688,-121.5875
13.146912336349487,-115.5026
13.148771524429321,-108.8489
13.177537441253662,-101.9911
13.178330898284912,-95.0569
13.184965133666992,-87.992
13.185866117477417,-80.7115
13.22472095489502,-73.144
13.22612738609314,-65.266
13.228189706802368,-57.1644
13.25887656211853,-49.0283
13.259339332580566,-41.0916
13.25998592376709,-33.5616
13.263807535171509,-26.5529
13.266515970230103,-20.0971
13.30106234550476,-14.1915
13.301516771316528,-8.8312
13.309080362319946,-4.0451
13.309739351272583,0.1223
13.353222131729126,3.7092
13.354151487350464,6.8776
13.358349323272705,9.8663
13.36009669303894,12.9395
13.361003637313843,16.4075
13.405994415283203,20.8798
13.406749248504639,27.6787
13.407656192779541,38.8729
13.408561706542969,56.5681
13.452442646026611,81.8611
13.453221559524536,114.2771
13.45400071144104,151.9832
13.459951877593994,192.2976
13.460883140563965,232.1141
13.46167278289795,268.3139
13.507445335388184,298.1609
13.508350372314453,319.5941
13.509765625,331.459
13.510900735855103,333.5865
13.546863794326782,326.6206
13.550302982330322,311.7847
13.55138874053955,290.74
13.556390285491943,265.3846
13.557257890701294,237.4948
13.55895709991455,208.4563
13.601075172424316,179.2474
13.601950883865356,150.4944
13.602882623672485,122.496
13.603938817977905,95.3026
13.642031192779541,68.8896
13.642778396606445,43.3636
13.643627643585205,19.0408
13.648711204528809,-3.6402
13.649492979049683,-24.2242
13.696476459503174,-42.3192
13.697219133377075,-57.7064
13.698383331298828,-70.3845
13.699431657791138,-80.4688
13.700283765792847,-88.1077
13.743050336837769,-93.5234
13.743664264678955,-97.0679
13.744271993637085,-99.21
13.745194435119629,-100.462
13.747293949127197,-101.3085
13.788521766662598,-102.2095
13.790422916412354,-103.5899
13.791352987289429,-105.7207
13.82223916053772,-108.6489
13.822782516479492,-112.2569
13.826558828353882,-116.2825
13.828898668289185,-120.3499
13.82954740524292,-124.1691
13.866841077804565,-127.7021
13.86813497543335,-131.0993
13.869558095932007,-134.5228
13.901001453399658,-137.9895
13.901993751525879,-141.3106
13.907910346984863,-144.1702
13.908585786819458,-146.2183
13.909323930740356,-147.1118
13.944584846496582,-146.6377
13.945186138153076,-144.8461
13.947193384170532,-141.9686
13.949010610580444,-138.2044
13.993152379989624,-133.627
13.99838137626648,-128.2834
14.00167441368103,-122.3229
14.002528429031372,-115.9573
14.003422260284424,-109.3245
14.05564022064209,-102.4559
14.056464910507202,-95.3461
14.057456970214844,-88.0209
14.058724403381348,-80.5661
14.062626600265503,-73.1112
14.064826726913452,-65.7553
14.100557327270508,-58.5041
14.101072072982788,-51.3094
14.10169529914856,-44.1924
14.102441549301147,-37.3149
14.150845050811768,-30.9219
14.15163254737854,-25.1996
14.152446985244751,-20.1373
14.1534583568573,-15.5227
14.158523321151733,-11.1119
14.159524917602539,-6.7874
14.206742763519287,-2.5532
14.207586288452148,1.5297
14.208494424819946,5.4018
14.209993600845337,9.1934
14.210770606994629,13.5518
14.249468088150024,19.8951
14.250145435333252,30.3567
14.255226135253906,47.2444
14.256072998046875,72.102
14.257542371749878,104.8984
14.306578636169434,143.9189
14.307739019393921,186.3553
14.308359622955322,229.0176
14.310580968856812,268.732
14.349632024765015,302.5696
14.359264373779297,328.17
14.360320806503296,344.0534
14.3612220287323,349.7277
14.36240816116333,345.6348
14.398248195648193,333.0101
14.399134635925293,313.6405
14.400392532348633,289.5551
14.435741424560547,262.6861
14.439923524856567,234.5935
14.4408597946167,206.3655
14.445804357528687,178.615
14.446636199951172,151.5114
14.44792652130127,124.9157
14.491944551467896,98.5723
14.492627143859863,72.2808
14.493392944335938,46.0762
14.494368553161621,20.3871
14.532505512237549,-4.0158
14.53317666053772,-26.3202
14.534103393554688,-45.9617
14.539143800735474,-62.7389
14.54002332687378,-76.7836
14.541982650756836,-88.4152
14.570336818695068,-97.941
14.576787233352661,-105.5418
14.577317953109741,-111.3469
14.578151226043701,-115.6276
14.613106727600098,-118.836
14.613731622695923,-121.4084
14.614336967468262,-123.6336
14.618319511413574,-125.7115
14.62931203842163,-127.8293
14.671473741531372,-130.1977
14.673167943954468,-133.0101
14.674131393432617,-136.3094
14.675005435943604,-139.9422
14.711981296539307,-143.6917
14.712679147720337,-147.4006
14.719578981399536,-150.9473
