x0000,y0000,x0001,y0001
0.9861233234,3890.0603910537,,
0.9862036705,4078.9931704066,,
1.0189440250,4270.0731596654,,
1.0457956791,4455.9837222086,,
1.045968771,4629.2741727754,,
1.0494544506,4783.3104501696,,
1.0495369434,4913.0671865581,,
1.0495691299,5015.6379042823,,
1.0801544189,5090.3965813622,,
1.1068429947,5138.807697009,,
1.1069819927,5163.9427388554,,
1.1070048809,5169.8084272318,,
1.1086270809,5160.6182099512,,
1.1087179184,5140.1404209825,,
1.1362285614,5111.2337339185,,
1.1616246700,5075.6370844518,,
1.1618010998,5034.0253070937,,
1.1637718678,4986.2850970409,,
1.1843652725,4931.9222451362,,
1.1845004559,4870.4917483210,,
1.2145447731,4801.9507290891,,
1.2147340775,4726.8639353266,,
1.2165825367,4646.4319080912,,
1.2672731876,4562.3527731012,,
1.2674601078,4476.5632421993,,
1.2693932056,4390.9276702936,,
1.3166155815,4306.9512647007,,
1.3168225288,4225.5821208638,,
1.3168489933,4147.1390306786,,
1.316873312,4071.3664722771,,
1.3184523582,3997.5859994852,,
1.3870961666,3924.8931507189,,
1.3872535229,3852.3452847765,,
1.3872733116,3779.0980503588,,
1.3872919083,3704.4709096856,,
1.3915970325,3627.9463666830,,
1.4202027321,3549.1257173807,,
1.4203424454,3467.6722822776,,
1.4203648567,3383.2699433631,,
1.4203872681,3295.6119386199,,
1.4204072952,3204.4180784433,,
1.4204289913,3109.4663707819,,
1.4210247993,3010.6232789435,,
1.4565377235,2907.8643588262,,
1.4567155838,2801.2870514078,,
1.4567410946,2691.1227585934,,
1.4867026806,2577.7529192064,,
1.486894846,2461.7256040883,,
1.4869222641,2343.7602873772,,
1.4919295311,2224.7242064208,,
1.5218572617,2105.5669077379,,
1.5220186710,1987.2095558107,,
1.5258255005,1870.3995014398,,
1.5575830936,1755.5551478117,,
1.5577840805,1642.6376308143,,
1.5578103065,1531.0900886789,,
1.5862476826,1419.8798186157,,
1.5864169598,1307.6642221857,,
1.5864367485,1193.0804062523,,
1.5867979527,1075.1321540595,,
1.6152126789,953.6186677206,,
1.6153757572,829.5220527322,,
1.6174125671,705.2537568225,,
1.6451344490,584.6642723922,,
1.6452724934,472.7522780742,,
1.6469635963,375.0676469123,,
1.6691889763,296.8755482045,,
1.6693608761,242.2174547511,,
1.6716628075,213.0504350508,,
1.6984546185,208.6540116447,,
1.6986224651,225.4557404273,,
1.7278134823,257.3455892573,,
1.7279436588,296.4436391364,,
1.7279629707,334.1841229090,,
1.7505362034,362.5086172921,,
1.7507505417,374.9398655342,,
1.7507727146,367.3393999435,,
1.7794864178,338.2271834242,,
1.7796509266,288.6393761205,,
1.8064286709,221.5959066939,,
1.8065614700,141.3206535770,,
1.8065819740,52.3905294135,,
1.8336567879,-41.0171699984,,
1.8338665962,-135.6512313705,,
1.8382697105,-229.4224614683,,
1.8669667244,-321.3544704829,,
1.8671462536,-411.3144862012,,
1.8719854355,-499.6266373394,,
1.9012196064,-586.6785860426,,
1.9014108181,-672.613699593,,
1.9017596245,-757.1635848916,,
1.9456467628,-839.6319032400,,
1.94780159,-919.0021377871,,
1.9478802681,-994.1184875466,,
1.9545328617,-1063.8843171318,,
2.0058000088,-1127.4344235957,,
2.0058834553,-1184.2573133364,,
2.0059087276,-1234.2606139403,,
2.0060632229,-1277.7803867346,,
