timestamp,Red,IR
1760728276.283943,53983.0,69289.0
1760728276.3223042,54019.0,69400.0
1760728276.368648,54063.0,69538.0
1760728276.401454,54113.0,69676.0
1760728276.4414403,54155.0,69824.0
1760728276.480398,54200.0,69958.0
1760728276.520485,54238.0,70060.0
1760728276.560501,54279.0,70139.0
1760728276.600489,54299.0,70228.0
1760728276.6405282,54339.0,70337.0
1760728276.6804886,54346.0,70071.0
1760728276.720565,54112.0,69333.0
1760728276.7604105,53894.0,68796.0
1760728276.8096187,53769.0,68576.0
1760728276.8411665,53742.0,68563.0
1760728276.8916216,53753.0,68666.0
1760728276.9254296,53804.0,68858.0
1760728276.9751134,53870.0,68970.0
1760728277.0090096,53895.0,68985.0
1760728277.0412798,53890.0,69002.0
1760728277.0812795,53898.0,69061.0
1760728277.1203253,53928.0,69140.0
1760728277.1601741,53964.0,69264.0
1760728277.2001781,54002.0,69386.0
1760728277.240434,54036.0,69488.0
1760728277.280445,54068.0,69572.0
1760728277.3206656,54086.0,69642.0
1760728277.359278,54104.0,69700.0
1760728277.399457,54130.0,69762.0
1760728277.4393475,54156.0,69835.0
1760728277.4792728,54140.0,69489.0
1760728277.5193124,53933.0,68869.0
1760728277.559194,53732.0,68393.0
1760728277.5992248,53635.0,68287.0
1760728277.6394231,53640.0,68358.0
1760728277.6802454,53682.0,68537.0
1760728277.7192628,53752.0,68760.0
1760728277.759309,53808.0,68843.0
1760728277.7991936,53809.0,68858.0
1760728277.8393934,53816.0,68875.0
1760728277.8795805,53829.0,68931.0
1760728277.9194295,53853.0,69036.0
1760728277.9592252,53894.0,69171.0
1760728277.9994442,53944.0,69303.0
1760728278.0394425,53990.0,69450.0
1760728278.0794249,54033.0,69562.0
1760728278.1192818,54067.0,69671.0
1760728278.1594465,54090.0,69755.0
1760728278.1984136,54108.0,69863.0
1760728278.2382965,54149.0,69834.0
1760728278.2784286,54012.0,69173.0
1760728278.3188872,53782.0,68549.0
1760728278.3584256,53621.0,68259.0
1760728278.3984292,53570.0,68231.0
1760728278.4384222,53590.0,68326.0
1760728278.4784174,53648.0,68537.0
1760728278.518641,53726.0,68735.0
1760728278.5752802,53761.0,68784.0
1760728278.5982008,53763.0,68801.0
1760728278.6513028,53765.0,68859.0
1760728278.6829107,53796.0,68959.0
1760728278.7253718,53834.0,69095.0
1760728278.7686508,53888.0,69249.0
1760728278.798778,53942.0,69425.0
1760728278.8456912,53997.0,69558.0
1760728278.8783317,54034.0,69659.0
1760728278.9183743,54069.0,69760.0
1760728278.9584055,54099.0,69860.0
1760728278.998078,54130.0,69967.0
1760728279.0384536,54161.0,70050.0
1760728279.0773118,54133.0,69550.0
1760728279.1172838,53863.0,68806.0
1760728279.1571732,53653.0,68307.0
1760728279.1974216,53548.0,68150.0
1760728279.2372973,53539.0,68178.0
1760728279.2773428,53566.0,68302.0
1760728279.3173804,53634.0,68519.0
1760728279.357279,53695.0,68656.0
1760728279.3973863,53713.0,68673.0
1760728279.4374502,53722.0,68729.0
1760728279.489806,53737.0,68817.0
1760728279.5290034,53766.0,68908.0
1760728279.5678527,53805.0,69019.0
1760728279.603935,53842.0,69107.0
1760728279.6396902,53875.0,69190.0
1760728279.6771848,53894.0,69237.0
1760728279.7172742,53907.0,69279.0
1760728279.7572777,53920.0,69289.0
1760728279.7973473,53925.0,69316.0
1760728279.837341,53938.0,69345.0
1760728279.877338,53946.0,69358.0
1760728279.916358,53892.0,68903.0
1760728279.9563448,53664.0,68127.0
1760728279.9963415,53426.0,67598.0
1760728280.0363312,53339.0,67506.0
1760728280.076343,53340.0,67544.0
1760728280.1163363,53373.0,67692.0
1760728280.156336,53428.0,67871.0
1760728280.1963334,53477.0,67949.0
1760728280.2363262,53484.0,67928.0
