timestamp,Crudo,Filtrado,Normalizado
1760987161.7068834,-318.0,15.1845,0.498
1760987161.7261536,-318.0,13.8415,0.498
1760987161.7367032,-322.0,12.4447,0.498
1760987161.7572043,-319.0,11.3164,0.498
1760987161.7725196,-321.0,10.5955,0.498
1760987161.790853,-322.0,10.3195,0.498
1760987161.8217423,-321.0,10.4234,0.498
1760987161.838632,-321.0,10.767,0.498
1760987161.8512177,-322.0,11.2405,0.498
1760987161.8767178,-321.0,11.7814,0.498
1760987161.9001365,-324.0,12.3214,0.498
1760987161.916275,-321.0,12.7753,0.498
1760987161.9344637,-317.0,13.1484,0.498
1760987161.9560115,-318.0,13.669,0.498
1760987161.972751,-317.0,14.6325,0.498
1760987161.9908106,-316.0,16.0714,0.4981
1760987162.0126708,-322.0,17.6617,0.4981
1760987162.031267,-321.0,18.8507,0.4981
1760987162.0544019,-322.0,19.1279,0.4981
1760987162.0736392,-328.0,18.3391,0.4981
1760987162.0983226,-323.0,16.7221,0.4981
1760987162.124221,-324.0,14.7819,0.498
1760987162.1299794,-326.0,13.1564,0.498
1760987162.149954,-325.0,12.2892,0.498
1760987162.174215,-329.0,12.1555,0.498
1760987162.1991389,-329.0,12.3453,0.498
1760987162.2239833,-325.0,12.4014,0.498
1760987162.2450867,-329.0,12.1819,0.498
1760987162.2497382,-330.0,11.854,0.498
1760987162.2706106,-328.0,11.5629,0.498
1760987162.2939632,-330.0,11.3292,0.498
1760987162.318435,-325.0,11.198,0.498
1760987162.3435895,-327.0,11.3095,0.498
1760987162.3496418,-324.0,11.8143,0.498
1760987162.3698826,-331.0,12.6775,0.498
1760987162.3930173,-332.0,13.5136,0.498
1760987162.4144802,-331.0,13.7286,0.498
1760987162.4345953,-330.0,13.0177,0.498
1760987162.4558663,-332.0,11.6801,0.498
1760987162.4725199,-333.0,10.3208,0.498
1760987162.4912925,-334.0,9.3405,0.498
1760987162.5150306,-330.0,8.7984,0.498
1760987162.5418398,-329.0,8.6628,0.498
1760987162.5647855,-333.0,8.9636,0.498
1760987162.5859044,-333.0,9.5867,0.498
1760987162.58963,-333.0,10.1476,0.498
1760987162.6118324,-333.0,10.2729,0.498
1760987162.635712,-335.0,9.8863,0.498
1760987162.6532252,-332.0,9.1755,0.498
1760987162.6793296,-332.0,8.4549,0.498
1760987162.706141,-330.0,8.0659,0.498
1760987162.7087653,-325.0,8.274,0.498
1760987162.732642,-323.0,9.2329,0.498
1760987162.757094,-329.0,10.9003,0.498
1760987162.7814343,-331.0,12.783,0.498
1760987162.8025239,-332.0,13.9658,0.498
