tiempo_relativo_s,Crudo,Filtrado,Normalizado
4.399402379989624,-64226.0,-342.5663,0.4403
4.418211460113525,-63971.0,-278.6898,0.4407
4.43645715713501,-63766.0,-154.7915,0.4414
4.455218076705933,-63633.0,30.186,0.4425
4.473312616348267,-63577.0,253.7971,0.4438
4.49270486831665,-63552.0,475.3698,0.4451
4.51573634147644,-63541.0,651.9532,0.4462
4.5345299243927,-63547.0,755.7581,0.4468
4.554245710372925,-63571.0,782.9966,0.447
4.576266288757324,-63626.0,750.0299,0.4468
4.589139938354492,-63696.0,681.3652,0.4464
4.619980812072754,-63743.0,597.9951,0.4459
4.642738342285156,-63791.0,512.5117,0.4454
4.656278371810913,-63814.0,430.8235,0.4449
4.671318054199219,-63824.0,356.0178,0.4444
4.689718246459961,-63843.0,290.8413,0.444
4.708982467651367,-63863.0,237.5794,0.4437
4.736554145812988,-63881.0,196.389,0.4435
4.748522520065308,-63903.0,164.6824,0.4433
4.775088548660278,-63930.0,138.2238,0.4431
4.800447940826416,-63975.0,112.6708,0.443
4.809326648712158,-64028.0,84.3369,0.4428
4.840165615081787,-64082.0,50.4262,0.4426
4.85116171836853,-64137.0,9.4739,0.4424
4.880512475967407,-64188.0,-38.0017,0.4421
4.896881103515625,-64242.0,-89.4611,0.4418
4.918392658233643,-64278.0,-141.1868,0.4415
4.9373273849487305,-64307.0,-189.1797,0.4412
4.957218170166016,-64340.0,-229.9012,0.441
4.980316400527954,-64369.0,-261.0867,0.4408
5.013265609741211,-64408.0,-282.6687,0.4406
5.026850700378418,-64443.0,-296.8648,0.4406
5.048100709915161,-64470.0,-307.135,0.4405
5.048973321914673,-64499.0,-316.4064,0.4404
5.068538427352905,-64534.0,-325.8278,0.4404
5.088882684707642,-64565.0,-335.0822,0.4403
5.107266664505005,-64606.0,-343.498,0.4403
5.127026796340942,-64643.0,-350.9052,0.4402
5.1594157218933105,-64676.0,-357.7366,0.4402
5.166552782058716,-64698.0,-364.3195,0.4402
5.186915159225464,-64678.0,-369.6789,0.4401
5.207965612411499,-64525.0,-369.4206,0.4401
5.2280213832855225,-64290.0,-352.3808,0.4402
5.256505489349365,-64022.0,-299.7418,0.4405
5.26800537109375,-63775.0,-191.8896,0.4412
5.2868664264678955,-63610.0,-21.2442,0.4422
5.317155361175537,-63523.0,197.6342,0.4435
5.332247018814087,-63484.0,428.721,0.4449
5.35273289680481,-63463.0,627.4276,0.446
5.369020700454712,-63460.0,758.8699,0.4468
5.390275478363037,-63477.0,810.6287,0.4471
5.407506227493286,-63500.0,793.2989,0.447
5.436063289642334,-63564.0,730.7875,0.4467
5.4528608322143555,-63625.0,647.4635,0.4462
5.471547842025757,-63688.0,559.3392,0.4456
5.494201898574829,-63722.0,472.8674,0.4451
5.5074450969696045,-63736.0,389.5748,0.4446
5.525823354721069,-63731.0,311.4796,0.4442
5.54617714881897,-63743.0,243.0473,0.4438
5.5834641456604,-63750.0,188.9285,0.4434
5.597796201705933,-63773.0,150.292,0.4432
5.617045164108276,-63807.0,123.3439,0.4431
5.633143901824951,-63836.0,100.8137,0.4429
5.652668237686157,-63873.0,75.2648,0.4428
5.672103643417358,-63916.0,42.1954,0.4426
5.693833112716675,-63958.0,1.0069,0.4423
5.721290111541748,-64005.0,-46.0367,0.442
5.740382432937622,-64058.0,-95.6047,0.4418
5.746978282928467,-64110.0,-144.9497,0.4415
5.765549182891846,-64153.0,-192.5944,0.4412
5.788625717163086,-64179.0,-237.7212,0.4409
5.8095924854278564,-64215.0,-278.9946,0.4407
5.827874183654785,-64250.0,-314.4884,0.4405
5.863862037658691,-64277.0,-342.9001,0.4403
5.878121852874756,-64315.0,-364.4275,0.4402
5.89207649230957,-64354.0,-380.6715,0.4401
5.927157878875732,-64388.0,-394.0264,0.44
5.940423965454102,-64430.0,-406.752,0.4399
5.956636667251587,-64465.0,-420.1577,0.4398
5.976086854934692,-64505.0,-434.3447,0.4397
5.997124671936035,-64564.0,-448.7254,0.4397
6.005437135696411,-64608.0,-462.9718,0.4396
6.037989377975464,-64651.0,-477.4171,0.4395
6.072813034057617,-64693.0,-492.2041,0.4394
6.080534934997559,-64718.0,-506.3586,0.4393
6.100853204727173,-64648.0,-516.9864,0.4393
6.119080066680908,-64450.0,-516.6489,0.4393
6.139672517776489,-64193.0,-489.9875,0.4394
6.163290739059448,-63938.0,-415.8676,0.4399
6.173534154891968,-63742.0,-278.3947,0.4407
6.204272747039795,-63625.0,-80.5009,0.4418
6.208913564682007,-63579.0,150.6107,0.4432
6.2469329833984375,-63576.0,371.2287,0.4445
6.256632566452026,-63594.0,538.2109,0.4455
6.275893211364746,-63608.0,625.7715,0.446
6.31146502494812,-63633.0,633.4177,0.4461
6.325065851211548,-63703.0,581.6041,0.4458
6.346246719360352,-63773.0,498.536,0.4453
6.3615875244140625,-63838.0,406.9568,0.4447
6.366047143936157,-63878.0,318.8484,0.4442
6.387866258621216,-63891.0,238.3304,0.4437
6.40822696685791,-63885.0,167.4143,0.4433
6.427516460418701,-63872.0,109.3742,0.443
6.445462703704834,-63864.0,68.1884,0.4427
6.48419713973999,-63863.0,45.5394,0.4426
6.484835147857666,-63882.0,38.5014,0.4425
6.515573263168335,-63913.0,39.5944,0.4426
6.534520149230957,-63957.0,39.0994,0.4426
6.553570508956909,-63998.0,28.5124,0.4425
6.573508977890015,-64041.0,3.5437,0.4423
6.607645034790039,-64080.0,-34.7205,0.4421
6.608685731887817,-64105.0,-80.8986,0.4418
6.626858711242676,-64147.0,-127.8061,0.4416
6.645625114440918,-64189.0,-169.4905,0.4413
6.670253276824951,-64227.0,-203.5388,0.4411
6.701404333114624,-64265.0,-231.0721,0.4409
6.736684560775757,-64291.0,-254.7455,0.4408
6.7452123165130615,-64305.0,-276.3221,0.4407
6.750487565994263,-64325.0,-295.3723,0.4406
6.770221471786499,-64354.0,-310.0063,0.4405
6.786451816558838,-64379.0,-318.9618,0.4404
6.816620826721191,-64397.0,-322.9211,0.4404
6.836315155029297,-64419.0,-323.8296,0.4404
6.855985164642334,-64451.0,-323.552,0.4404
6.874972581863403,-64507.0,-323.643,0.4404
6.893893241882324,-64555.0,-326.0594,0.4404
6.9049835205078125,-64589.0,-333.087,0.4403
6.93505597114563,-64560.0,-345.0211,0.4403
6.954886436462402,-64392.0,-356.2011,0.4402
6.9761106967926025,-64131.0,-351.1155,0.4402
6.995319843292236,-63855.0,-305.3987,0.4405
7.0067572593688965,-63619.0,-195.9775,0.4412
7.041941404342651,-63465.0,-16.5634,0.4422
7.046900749206543,-63391.0,212.6897,0.4436
7.068488836288452,-63384.0,449.0724,0.445
7.088233470916748,-63404.0,643.318,0.4461
7.1068031787872314,-63417.0,759.0284,0.4468
7.126254081726074,-63449.0,785.686,0.447
7.145914316177368,-63500.0,738.822,0.4467
7.183807134628296,-63568.0,648.2707,0.4462
7.185245513916016,-63619.0,543.0321,0.4455
7.21718168258667,-63649.0,442.1016,0.4449
7.227277040481567,-63660.0,354.0777,0.4444
7.248623609542847,-63670.0,281.3999,0.444
7.264877080917358,-63670.0,224.0581,0.4437
7.285421848297119,-63666.0,180.9973,0.4434
7.304214000701904,-63684.0,150.1866,0.4432
7.325896978378296,-63707.0,128.0931,0.4431
7.345341205596924,-63748.0,109.4691,0.443
7.396090269088745,-63799.0,88.1119,0.4428
7.398245334625244,-63860.0,58.5595,0.4427
7.4178571701049805,-63917.0,17.7109,0.4424
7.441723108291626,-63977.0,-34.2064,0.4421
7.45137619972229,-64041.0,-93.9033,0.4418
7.471515417098999,-64101.0,-156.5268,0.4414
7.490486145019531,-64149.0,-217.4476,0.441
7.51337194442749,-64189.0,-273.0717,0.4407
7.545443058013916,-64216.0,-320.6758,0.4404
7.546542406082153,-64234.0,-358.146,0.4402
7.569040536880493,-64243.0,-383.9585,0.44
7.603365898132324,-64263.0,-397.5596,0.44
7.61035418510437,-64286.0,-400.097,0.4399
7.632328271865845,-64308.0,-394.8238,0.44
7.652865648269653,-64343.0,-386.3689,0.44
7.670731067657471,-64374.0,-379.2047,0.4401
7.692175388336182,-64403.0,-376.2924,0.4401
7.711320400238037,-64427.0,-378.2281,0.4401
7.741374969482422,-64454.0,-383.2853,0.44
7.746504068374634,-64461.0,-388.3893,0.44
7.765952110290527,-64360.0,-389.3671,0.44
7.803415775299072,-64124.0,-378.087,0.4401
7.817017555236816,-63814.0,-338.2089,0.4403
7.832449436187744,-63529.0,-247.1041,0.4409
7.852197170257568,-63315.0,-88.1769,0.4418
7.870287179946899,-63205.0,133.6021,0.4431
7.889402389526367,-63161.0,385.7342,0.4446
7.910480737686157,-63152.0,618.2446,0.446
7.929024934768677,-63154.0,784.5549,0.447
7.962357759475708,-63166.0,860.5126,0.4474
7.967467784881592,-63193.0,850.9615,0.4474
7.984914779663086,-63257.0,781.7179,0.447
